gender,category_name,question,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,grade,comment
여,자기이해,내가 가장 소중하게 여기는 것은,사랑,,,,,,중,사랑이라는 다소 추상적인 가치를 중요하게 여기고 있어 구체적 맥락이나 사회적 관계 안에서 어떤 가치를 중요하게 여기는지에 대한 추가적 탐색이 필요하다.
여,직업세계이해 및 건강한 직업의식,내 생각에 직업이 필요한 이유는,먹고 살기 위해,,,,,,중,직업의 역할 중 생계유지에를 중요하게 여기고 있다. 
남,진로의사결정능력 및 진로설계와 준비,내가 원하는 직업을 갖기 위해 현재 하고 있는 노력은 _______________________이다.,열심히 독서하고 공부하는것,,,,,,중,"자신의 꿈과 연계하여 필요한 준비행동에 대해서 인식하고 있으나, 학생의 역할만을 언급하고 있는 편이다."
남,직업세계이해 및 건강한 직업의식,"내가 닮고 싶은 사람은 _________이고, 그 이유는 _________________이다.",아빠 엄마다,나에게 친절하고 자상하게 많은 것들을 알려주고 사랑해주시기 때문이다,,,,,중,"역할모델을 구체적 인물로 표현하고 있으며, 대상에 대한 묘사도 구체적이나, 직업가치관이 잘 드러나지 않는다. "
여,자기이해,내가 가장 소중하게 여기는 것은,나의 행복이다,,,,,,상,소중하게 여기는 생애가치로 자신의 행복을 응답하였다. 
여,긍정적자아상,엄마는 나를,사랑한다,,,,,,상,엄마의 애정을 알고 있으며 평소 어머니와 좋은 관계를 형성하고 있다. 
여,교육기회 및 직업정보 탐색능력,"관심 있는 직업에 대해 더 알고 싶을 때, 나는",인터넷 검색을 한다,,,,,,상,직업이나 진로에 대한 정보를 탐색하기 위한 방법에 대해서 알고 있다.
여,자기이해,내가 잘 하는 것은,친구들 이야기 들어주기,,,,,,상,구체적으로 어떤 소질과 적성을 가지고 있는지 알고 있다.
여,대인관계 및 의사소통 역량,학교에서 친구들과 이야기를 나누는 것은 나에게,에너지를 주는 일이다,,,,,,상,친구관계를 긍정적으로 여기고 있다.
여,진로의사결정능력 및 진로설계와 준비,내가 원하는 직업을 갖기 위해 현재 하고 있는 노력은 _______________________이다.,이야기 아이디어를 많이 내려고 노력한다,,,,,,상,현재 자신이 원하는 진로대안을 위해 구체적인 진로준비행동을 실천하고 있다. 
여,직업세계이해 및 건강한 직업의식,"내가 닮고 싶은 사람은 _________이고, 그 이유는 _________________이다.",핑키파이,내가 지금도 닮았지만 활기찬 성격과 파티를 만드는 것을 좋아하는 부분과 유머스러운부분이좋아서,,,,,하,직업적 역할모델에 관한 문항에서 사람이 아닌 만화 캐릭터로 응답하였다. 자신이 희망하는 진로와 관련된 역할모델을 더 탐색할 필요가 있다. 
여,대인관계 및 의사소통 역량,"친구들과 의견이 다를 때, 나는",내 의견을 말해본다,,,,,,상,"친구들과 의견이 다른 상황에서 자신의 의견을 말한다고 하여, 의견을 조율하기 위해 노력함을 알 수 있다. 의견이 다를 때 합의점을 찾아야 함을 인식하고 있다. "
여,대인관계 및 의사소통 역량,나에게 친구란,나랑 친하고 장난도 치면서 같이 노는사람,,,,,,상,친구에 대한 문항에 친하다 등의 긍정적인 표현을 사용하여 친구의 중요성에 대해 인식하고 있음을 알 수 있다. 
여,자기이해,내가 잘 하는 것은,만들기 다,,,,,,상,"자신의 적성으로 장점으로 응답한 만들기를 응답하였다. 자신의 적성을 인식하고, 이를 구체적으로 표현하고 있다. "
여,긍정적자아상,엄마는 나를,사랑하신다,,,,,,상,엄마의 애정어린 돌봄을 인식하고 있으며 긍정적 자아상을 형성하고 있다.
여,직업세계이해 및 건강한 직업의식,"내가 닮고 싶은 사람은 _________이고, 그 이유는 _________________이다.",선생님,따뜻한 사람이기 때문,,,,,중,"닮고 싶은 사람을 인물이 아닌 직업으로 서술하고 있다. 특정 선생님을 떠올리며 응답한 내용인지에 대해 확인이 필요하다.
따뜻한 사람이기 때문에 좋다는 응답은 앞서 언급된 대인관계에 대한 관심과 연결된다. "
여,대인관계 및 의사소통 역량,나에게 친구란,나를 더 행복하게 만드는 존재이다,,,,,,상,또래와 관계를 긍정적으로 맺고 있으며 친구가 중요함을 알고 있다.
여,진로의사결정능력 및 진로설계와 준비,"나는 커서 ①______________가 되고 싶다. 그 이유는 ____________________이다.
나는 커서 ②______________가 되고 싶다. 그 이유는 ____________________이다.
나는 커서 ③______________가 되고 싶다. 그 이유는 ____________________이다.",멋있는 사람,스스로 뿌듯할 것 같기 때문,즐거운 사람,행복해지고 싶기 때문,엄마,아이가 귀엽기 때문,하,"꿈이 구체적이지 않으며, 뿌듯함, 행복감 등 이유가 추상적이다. 멋있는 사람, 즐거운 사람에 대해 구체화 할 필요가 있다. 
또한 아이가 귀엽기 때문에 엄마가 되고싶다는 응답에 대해, 아이에 대한 관심 및 진로와 관련하여 탐색해 볼 여지가 있는지 확인해 보면 좋겠다. "
여,진로의사결정능력 및 진로설계와 준비,"어떤 일을 할 때, 계획을 세우는 것은",중요하다,,,,,,상,계획의 필요성과 중요성을 인식하고 있다. 
남,진로의사결정능력 및 진로설계와 준비,"진로에 관하여 부모님과 의견이 다를 때, 나의 해결방법은 __________________이다.",속상해서 이야기 나눈다,,,,,,중,"진로와 관련된 의사결정에서 부모와 의견차이가 있을 때 부정적 감정을 느끼고 그것에 대해서 이야기를 나누는 편이나, 적극적으로 의견을 조율하려고 노력하는 모습은 나타나지 않는다."
남,교육기회 및 직업정보 탐색능력,내가 공부를 하는 이유는,성공하려고이다,,,,,,중,"진로를 위해서 공부를 해야한다는 것을 인식하고 있으나, 공부를 해서 이루는 성공이 무엇인지에 대한 추가적 탐색이 필요하다. "
여,직업세계이해 및 건강한 직업의식,내 생각에 직업이 필요한 이유는,돈을 벌수 있기때문입니다,,,,,,중,직업의 역할 중 생계유지나 경제적 측면과 같은 역할을 중요하게 여기고 있다. 
여,대인관계 및 의사소통 역량,나에게 친구란,재미있게 지내는 존재이다,,,,,,상,"친구에 대해 긍정적 인식을 지니고 있으며, 현재 긍정적인 또래관계를 형성하고 있는 것으로 보인다. "
여,대인관계 및 의사소통 역량,학교에서 친구들과 이야기를 나누는 것은 나에게,즐거움을 준다,,,,,,상,학교에서 친구들과 어울리는 것을 긍정적인 정서 경험으로 표현하고 있다.
여,직업세계이해 및 건강한 직업의식,내 생각에 좋은 직업이란,좋아하는 일을 하는 것이다,,,,,,상,좋은 직업에 대한 판단 기준으로 흥미를 꼽고 있다.
여,대인관계 및 의사소통 역량,"친구들과 의견이 다를 때, 나는",얘기한다,,,,,,중,"9번 문항과 마찬가지로 상대방과 의견이 차이가 나는 상황에서 얘기한다는 것이 어떤 의미인지 확인할 필요가 있다. 의견을 조율하기 위한 대화인지, 자신의 의견을 주장하기 위해 이야기를 한다는 것인지 탐색할 필요가 있다. "
여,자기이해,내가 좋아하거나 즐거워하는 활동은,아이돌댄스춤추기,,,,,,중,"좋아하는 활동을 아이돌 댄스 춤추는 것이라고 하였는데,  미래 직업과 관련하여 흥미를 가진 활동인지, 여가 생활을 즐기기 위한 것인지 확인이 필요하다. "
여,자기이해,내가 잘 하는 것은,수학,,,,,,상,"잘 하는 것을 수학이라는 과목으로 표현하였다. 수학에서 어느 것을 잘하는지(계산, 문제해결, 빠르게 풀기 등)에 대해서도 탐색할 필요가 있다. "
여,긍정적자아상,아빠는 나를,항상 보고싶어하고 사랑하신다,,,,,,상,"아버지의 애정을 인식하고 있고, 3번 문항과 비교하였을 때 항상 보고싶어 하신다는 내용이 부각되어 표현되었다. 아버지에 대한 애정을 어머니보다 더 크게 인식하고 있다.  "
여,직업세계이해 및 건강한 직업의식,내 생각에 좋은 직업이란,내가 즐기며 할 수 있는 일이다,,,,,,상,"자신이 좋아하는 일을 가장 중요하게 생각하고 있다. 직업의 내적 가치에 초점을 두고 있으며, 어떤 일이 즐기며 할 수 있는지에 대해 탐색해 볼 필요가 있다. "
여,대인관계 및 의사소통 역량,나에게 친구란,내가 힘들 때 위로가 되는 사람이다,,,,,,상,"또래관계의 중요성에 대해 잘 알고 있고, 주변 친구들과 긍정적인 관계를 형성하고 있음을 알 수 있다. "
여,자기이해,내가 좋아하거나 즐거워하는 활동은,발레다니는 것이다,,,,,,상,자신이 좋아하는 활동 역시 적성과 같은 영역으로 구체적이고 긍정적으로 표현하고 있다. 
여,긍정적자아상,나의 장점은,착한 것이다,,,,,,중,"자신의 장점에 대해 인식하고 있으나, 구체적인 언어로 표현하지 못하고 있다. "
남,긍정적자아상,나는 ___________________________(한) 사람이다.,성실한,,,,,,상,자신을 성실한 사람으로 응답하여 긍정적인 자아상을 보이고 있다.
남,진로의사결정능력 및 진로설계와 준비,"나는 커서 ①______________가 되고 싶다. 그 이유는 ____________________이다.
나는 커서 ②______________가 되고 싶다. 그 이유는 ____________________이다.
나는 커서 ③______________가 되고 싶다. 그 이유는 ____________________이다.",야구선수,야구가 좋아서,축구선수,축구가 좋아서,농구선수,농구가 좋아서,상,자신의 흥미에 기반하여 되고 싶은 직업을 구체적으로 언급하고 있다. 되고 싶은 직업들이 모두 유사하여 흥미가 한 방향으로 매우 뚜렷하게 형성되고 있음을 보여준다. 운동선수로서의 진로는 다른 진로와 다르게 이른 나이에 진로의사결정이 이루어지는 경우가 많아 좀 더 구체적인 결정을 염두에 두고 다양한 탐색이 이루어지도록 노력할 필요가 있다.
남,진로의사결정능력 및 진로설계와 준비,"어떤 일을 할 때, 계획을 세우는 것은",필요하지요,,,,,,상,어떤 일을 할 때 계획을 세우는 것이 중요하고 효율적임을 인식하고 있다.
여,긍정적자아상,나는 ___________________________(한) 사람이다.,평범한,,,,,,중,자신의 특성에 대해 평범하다고 중립적인 단어를 사용하였다. 평범하다는 것이 학생에게 어떤 의미인지 탐색이 필요하다. 
여,직업세계이해 및 건강한 직업의식,내 생각에 직업이 필요한 이유는,돈,,,,,,중,직업의 필요성과 역할을 생계유지 측면에서만 응답하였다. 직업의 여러 다양한 역할에 대해 인식하고 있는지 탐색이 필요하다. 
여,미래에 대한 기대,앞으로 가장 기대되는 것은 __________________________________이다.,미래,,,,,,하,앞으로의 기대를 미래라고 응답하여 미래에 대한 기대를 표현하지 못하고 있다. 자신의 진로와 관련하여 긍정적인 기대를 가질 수 있도록 개입이 필요하다. 
남,긍정적자아상,나의 장점은,잘 노는 것,,,,,,상,"자신의 장점에 대해 인식하고 표현하였으나, 구체적으로 표현하지 않았다. 잘 논다는 것의 의미에 대해 탐색할 필요가 있다. "
